brick_id,brick_name,t2d_patients,t2d_prevalence_per_1000,morbid_obesity_share,longterm_disease_share,fraction_blood_clot,higher_education_per_1000,minimum_physical_activity,life_expectancy_years,work_absence_rate,sales_glp_volume_total,sales_glp_value_total,sales_glp_volume_share,Factor1,Factor2,Factor3,population,glp1_sales_value_per_1,glp1_sales_volume_per_1,glp1_unit_price
201,Koege Bugt,5959.958458,56.298255,0.178429,0.359222,0.011500,251.789022,0.308444,81.135667,6.127900,10425,8866186.250000,0.027368,0.146680,1.749067,-0.182573,105864.000000,83.750720,0.098475,850.4735011990408
202,Roskilde,5289.851966,51.272664,0.187455,0.359000,0.012833,296.855074,0.315909,80.970091,6.108917,8314,7157988.650000,0.021826,0.093182,1.221196,0.014350,103171.000000,69.379851,0.080585,860.9560560500362
203,Kalundborg,7027.738707,67.910043,0.215000,0.390750,0.018167,196.004477,0.355750,80.174875,5.989500,15318,13241082.970000,0.040213,1.243409,2.100497,0.436489,103486.000000,127.950476,0.148020,864.4133026504765
204,Slagelse,4202.967621,63.143650,0.217000,0.387400,0.014000,202.345935,0.334200,79.744200,5.878600,7984,6835544.870000,0.020960,0.769705,0.064957,0.700277,66562.000000,102.694403,0.119948,856.1554195891783
205,Ringsted,4018.946158,60.128760,0.208222,0.377556,0.013286,225.260817,0.327000,79.936222,5.778778,6725,5759988.110000,0.017655,0.528026,-0.110699,0.437913,66839.000000,86.177054,0.100615,856.5038081784387
206,Naestved,4189.080501,59.821788,0.227286,0.375857,0.016500,215.942825,0.320875,79.768750,6.241000,8570,7332736.820000,0.022498,0.729465,0.285669,1.207943,70026.000000,104.714489,0.122383,855.6285670945158
207,Vordingborg,3873.451601,64.034578,0.231143,0.379111,0.013833,199.100541,0.334000,79.865444,6.345222,8177,7072699.880000,0.021467,0.845348,0.296678,1.098788,60490.000000,116.923456,0.135179,864.950456157515
208,Falster,3213.192353,69.206581,0.225000,0.404000,0.015000,184.701363,0.345000,78.850000,6.225000,5899,5293569.370000,0.015486,0.997174,-0.396298,1.976323,46429.000000,114.014288,0.127054,897.3672436006103
209,Lolland,3765.766956,79.307688,0.229250,0.421000,0.019000,143.789559,0.359250,78.170250,6.048500,5827,4936502.400000,0.015297,1.514691,-0.344079,2.424123,47483.000000,103.963574,0.122718,847.1773468337052
301,Svendborg,3078.366654,58.551910,0.190000,0.363333,0.015333,222.283878,0.340000,80.733333,5.890000,4211,3721359.430000,0.011055,0.683882,-0.589052,-0.150053,52575.000000,70.781920,0.080095,883.7234457373546
302,Nyborg,4307.787178,57.842833,0.189846,0.373250,0.016250,216.354989,0.323429,81.119077,6.074846,6269,5509666.200000,0.016458,0.739229,0.393731,-0.177746,74474.000000,73.981070,0.084177,878.8748125697879
303,Assens,3134.362117,55.482310,0.175250,0.369714,0.015500,211.384880,0.312143,80.875200,6.121286,5404,4683279.310000,0.014187,0.482263,-0.401880,0.165416,56493.000000,82.900170,0.095658,866.6319966691339
304,Ydre Odense,5438.289095,46.680593,0.162000,0.355500,0.012000,340.921443,0.272500,80.897500,5.536000,8386,7639981.440000,0.022015,-0.561618,0.743096,-0.341652,116500.000000,65.579240,0.071983,911.0400000000001
305,Odense City,1979.051798,41.012368,0.160000,0.355000,0.012000,300.841490,0.270000,80.900000,5.530000,3312,2959103.100000,0.008695,-0.530550,-1.721946,-0.367788,48255.000000,61.322207,0.068635,893.4490036231884
306,Middelfart,3061.463442,56.532545,0.215000,0.370000,0.014000,223.459896,0.350000,80.700000,5.895000,5833,5226303.600000,0.015313,0.806294,-0.575919,-0.242406,54154.000000,96.508173,0.107711,895.9889593691067
307,Soenderborg,3907.674682,65.031448,0.199000,0.364500,0.016000,233.630274,0.330500,81.194000,5.990000,5807,4857084.720000,0.015245,0.867567,0.131321,-0.389670,60089.000000,80.831512,0.096640,836.4189288789391
