SITE_SHORT;PERIOD_ID;COUNT_;WHO_ATC_CODE;CATEGORY;BRICK_NAME;BRICK_NO
pro;202005;25;A10BA02;Metformin;Hjørring;507
pro;202005;5;A10BA02;Metformin;Hobro;503
min;202005;4;A10BA02;Metformin;Holstebro;408
pro;202005;28;A10BA02;Metformin;Holstebro;408
min;202005;28;A10BA02;Metformin;Horsens;402
pro;202005;36;A10BA02;Metformin;Horsens;402
min;202005;4;A10BA02;Metformin;Hørsholm;112
pro;202005;9;A10BA02;Metformin;Hørsholm;112
min;202005;4;A10BA02;Metformin;Kalundborg;203
pro;202005;8;A10BA02;Metformin;Kalundborg;203
min;202005;4;A10BA02;Metformin;Kbh. NV;107
pro;202005;3;A10BA02;Metformin;Kbh. NV;107
min;202005;5;A10BA02;Metformin;Kbh. Ø.;108
pro;202005;19;A10BA02;Metformin;Kbh. Ø.;108
min;202005;10;A10BA02;Metformin;Kgs. Lyngby;110
pro;202005;19;A10BA02;Metformin;Kgs. Lyngby;110
min;202005;4;A10BA02;Metformin;Kolding;312
pro;202005;4;A10BA02;Metformin;Kolding;312
min;202005;10;A10BA02;Metformin;Køge Bugt;201
pro;202005;19;A10BA02;Metformin;Køge Bugt;201
pro;202005;4;A10BA02;Metformin;Lolland;209
pro;202005;5;A10BA02;Metformin;Middelfart;306
min;202005;1;A10BA02;Metformin;N/A;N/A
pro;202005;7;A10BA02;Metformin;N/A;N/A
min;202005;8;A10BA02;Metformin;Nyborg;302
pro;202005;15;A10BA02;Metformin;Nyborg;302
min;202005;4;A10BA02;Metformin;Næstved;206
pro;202005;7;A10BA02;Metformin;Næstved;206
min;202005;15;A10BA02;Metformin;Nørrebro/City;103
pro;202005;58;A10BA02;Metformin;Nørrebro/City;103
min;202005;3;A10BA02;Metformin;Nørresundby;506
pro;202005;6;A10BA02;Metformin;Nørresundby;506
min;202005;14;A10BA02;Metformin;Odense City;305
pro;202005;36;A10BA02;Metformin;Odense City;305
min;202005;72;A10BA02;Metformin;Outside DK;Outside DK
pro;202005;120;A10BA02;Metformin;Outside DK;Outside DK
min;202005;9;A10BA02;Metformin;Randers;411
pro;202005;7;A10BA02;Metformin;Randers;411
min;202005;2;A10BA02;Metformin;Ribe;310
pro;202005;1;A10BA02;Metformin;Ribe;310
min;202005;1;A10BA02;Metformin;Ringkøbing;407
pro;202005;5;A10BA02;Metformin;Ringkøbing;407
min;202005;31;A10BA02;Metformin;Ringsted;205
pro;202005;187;A10BA02;Metformin;Ringsted;205
min;202005;9;A10BA02;Metformin;Roskilde;202
pro;202005;42;A10BA02;Metformin;Roskilde;202
min;202005;24;A10BA02;Metformin;Silkeborg;405
pro;202005;92;A10BA02;Metformin;Silkeborg;405
min;202005;3;A10BA02;Metformin;Skive;409
pro;202005;3;A10BA02;Metformin;Skive;409
min;202005;4;A10BA02;Metformin;Slagelse;204
pro;202005;15;A10BA02;Metformin;Slagelse;204
min;202005;3;A10BA02;Metformin;Svendborg;301
pro;202005;8;A10BA02;Metformin;Svendborg;301
min;202005;10;A10BA02;Metformin;Sønderborg;307
pro;202005;25;A10BA02;Metformin;Sønderborg;307
min;202005;3;A10BA02;Metformin;Thisted;504
pro;202005;3;A10BA02;Metformin;Thisted;504
min;202005;25;A10BA02;Metformin;Tåstrup;116
pro;202005;47;A10BA02;Metformin;Tåstrup;116
min;202005;1;A10BA02;Metformin;Tønder;309
pro;202005;1;A10BA02;Metformin;Tønder;309
pro;202005;11;A10BA02;Metformin;Varde;314
min;202005;6;A10BA02;Metformin;Vejle;315
pro;202005;139;A10BA02;Metformin;Vejle;315
min;202005;60;A10BA02;Metformin;Vesterbro/Christianshavn;104
pro;202005;125;A10BA02;Metformin;Vesterbro/Christianshavn;104
min;202005;1;A10BA02;Metformin;Viborg;410
pro;202005;11;A10BA02;Metformin;Viborg;410
pro;202005;14;A10BA02;Metformin;Vordingborg;207
min;202005;1;A10BA02;Metformin;Ydre Odense;304
pro;202005;11;A10BA02;Metformin;Ydre Odense;304
min;202005;48;A10BA02;Metformin;Ydre Århus;404
pro;202005;840;A10BA02;Metformin;Ydre Århus;404
min;202005;16;A10BA02;Metformin;Århus City;403
pro;202005;20;A10BA02;Metformin;Århus City;403
pro;202005;3;A10BD07;DPP-IV;Aabenraa;308
min;202005;4;A10BD07;DPP-IV;Aalborg City;502
pro;202005;5;A10BD07;DPP-IV;Aalborg City;502
min;202005;7;A10BD07;DPP-IV;Amager;102
pro;202005;6;A10BD07;DPP-IV;Amager;102
pro;202005;1;A10BD07;DPP-IV;Assens;303
