YEAR_MONTH,SECTOR_CODE,VOLUME,VALUE,WHO_ATC_CODE,MUNICIPALITY
202007,P,98,46822.6,A10AE06,Ringkøbing-Skjern
202007,P,70,12371.8,A10AB05,København
202007,P,10,3383.8,A10BK03,Ringkøbing-Skjern
202007,P,4,3889.96,A10BD20,Hvidovre
202007,P,5,1338.0,A10AB05,København
202007,P,0,12.6,A10BD07,Brøndby
202007,P,1,317.68,A10BK01,Lyngby-Taarbæk
202007,P,76,1851.4,A10BA02,København
202007,P,11,132.0,A10BA02,Middelfart
202007,P,-1,-993.53,A10BD20,Fredensborg
202007,P,44,30679.33,A10BJ02,Vejle
202007,P,7,188.3,A10BB12,Randers
202007,P,12,499.8,A10BA02,Aabenraa
202007,P,1,906.83,A10AE56,Køge
202007,P,2,752.98,A10AE04,Høje-Taastrup
202007,S,9,2574.0,A10AD05,Roskilde
202007,P,2,539.98,A10AE06,København
202007,P,4,127.16,A10BB12,Holbæk
202007,P,2,1949.68,A10BJ06,Gentofte
202007,P,10,259.0,A10BB12,København
202007,P,1,1008.0,A10BK03,Skanderborg
202007,P,0,0.0,A10BH01,Hvidovre
202007,P,27,6204.09,A10BD07,Kalundborg
202007,P,5,1674.78,A10BD20,Lejre
202007,P,1,305.6,A10BH01,Allerød
202007,P,1,321.0,A10BK01,Middelfart
202007,P,8,192.0,A10BA02,Fanø
202007,P,1,223.5,A10AE04,Hvidovre
202007,P,5,2970.05,A10BJ06,Nyborg
202007,S,57,16035.28,A10AC01,Herlev
202007,P,4,4473.6,A10BH03,Færøerne
202007,P,1,1713.57,A10BJ02,Struer
202007,P,2,539.98,A10AE06,Gentofte
202007,P,4,1417.96,A10AB05,Albertslund
202007,P,6,1581.16,A10AC01,Furesø
202007,P,2,604.7,A10AD05,Fanø
202008,P,3,2175.73,A10BD07,Gribskov
202008,P,-3,-2355.0,A10BD07,Egedal
202007,P,8,13772.32,A10BJ02,Middelfart
202007,P,4,6854.28,A10BJ02,Frederikssund
202007,P,-1,-342.67,A10BK03,Varde
202007,P,47,11191.71,A10BD08,Køge
202007,P,1,998.09,A10BK02,København
202007,P,20,833.0,A10BA02,Gribskov
202007,P,2,581.54,A10AD05,Køge
