YEAR_MONTH,SECTOR_CODE,VOLUME,VALUE,WHO_ATC_CODE,MUNICIPALITY,brick_nr
202008,P,6,1950.3,A10BK01,Holstebro,408
202008,P,4,704.4,A10AB04,Viborg,410
202008,P,-1,-347.0,A10BD20,Frederiksberg,105
202008,P,3,2387.04,A10BD15,Skive,409
202008,P,1,1103.0,A10BK01,Slagelse,204
202008,P,-1,-939.23,A10BD08,Gentofte,109
202008,P,1,259.93,A10AB05,Thisted,504
202008,P,56,15163.62,A10AC01,Svendborg,301
202008,P,2,708.98,A10AB05,Gentofte,109
202008,P,39,28564.83,A10BJ02,Helsingør,113
202008,P,3,5646.06,A10BJ02,Frederikssund,114
202008,P,1,975.85,A10BH01,Vordingborg,207
202008,P,0,9.23,A10BH05,Svendborg,301
202008,P,-1,-255.4,A10BD07,Gentofte,109
202008,P,5,1075.7,A10AE06,Holstebro,408
202008,P,-2,-1878.46,A10BD08,Hjørring,507
202008,P,13,8949.66,A10BJ02,Frederikshavn,508
202008,P,5,1614.0,A10BK01,Silkeborg,405
202008,P,6,1339.02,A10BD07,Thisted,504
202008,P,60,22929.0,A10AE05,Skive,409
202008,P,2,735.76,A10AD05,Randers,411
202008,P,-1,-1078.16,A10BK01,Hillerød,111
202008,P,1,219.91,A10BD13,Glostrup,106
202008,P,63,11134.62,A10AB05,København,100
202008,S,3,1001.98,A10BK03,Kolding,312
202008,P,14,1005.2,A10BA02,Haderslev,311
202008,P,61,10781.14,A10AB05,Ballerup,115
202008,P,5,3662.54,A10BD08,København,100
202008,P,5,1680.0,A10BD20,Thisted,504
202008,P,1,190.68,A10BB07,Hørsholm,112
202008,P,1,793.23,A10BD15,Horsens,402
202008,P,8,289.0,A10BB09,Frederikshavn,508
202008,P,3,80.85,A10BB12,Thisted,504
202008,P,11,275.0,A10BA02,Glostrup,106
202008,P,175,4052.75,A10BA02,Horsens,402
202008,P,2,1188.02,A10BJ06,Kolding,312
202008,P,3,2226.0,A10BJ02,Slagelse,204
202008,P,5,8621.05,A10BJ02,København,100
202008,P,1,347.86,A10BK03,Kolding,312
202008,P,20,15320.0,A10BJ06,København,100
202008,P,25,17725.7,A10BJ02,Bornholm,101
202008,P,2,3522.62,A10BD19,Middelfart,306
202008,P,1,12.0,A10BA02,København,100
202008,P,6,10486.02,A10BJ02,Svendborg,301
202008,P,33,11009.38,A10BK03,Ballerup,115
202008,P,-1,-239.54,A10BD07,København,100
202008,P,2,938.56,A10AE06,Skive,409
202008,P,-1,-730.0,A10BJ01,Skive,409
